MODEL NUMBER,LOSS,PRECISION,RECALL,F-SCORE
0,14.543045629397966,0.8299914675759065,0.7737894004168501,0.8009056759112839
1,0.9877382596459938,0.8420940851642326,0.7885055185435134,0.8144192256333423
2,0.21464396713417955,0.8394115209274353,0.8056080342042302,0.8221624638481686
3,0.07631114775540482,0.8388837016279292,0.8040171025148612,0.8210804224199622
4,0.029259245014145563,0.8398510242076972,0.8071989658935992,0.823201338537927
5,0.014343576519877388,0.8424273858912422,0.807497265585356,0.8245925775490434
6,0.011429913374740863,0.837871159970371,0.8108779954252651,0.8241536129349933
7,0.01023532213503131,0.8394717837606113,0.8090881972747249,0.8239999999991655
8,0.010402929398424021,0.8401070068928489,0.8118723277311207,0.8257483818761875
9,0.00994158256787614,0.8420615990865477,0.8073978323547704,0.8243654822326655
10,0.007636785752879405,0.8407235142110173,0.8087898975829683,0.8244475978098271
11,0.007442998760041064,0.8403707518014002,0.8113751615781929,0.8256184549999234
12,0.0038836899753107446,0.8395897435888824,0.8139604255734175,0.8265764628658288
13,0.007837428739776442,0.8387162924219842,0.8133638261899041,0.8258455325584796
14,0.004599115056706182,0.8375743894922659,0.8116734612699495,0.8244205423412366
15,0.004132849684850726,0.8370453616664926,0.8146564581875164,0.8256991685554792
16,0.004819837706179442,0.8365364956033157,0.8136621258816608,0.8249407732236251
17,0.003986335449591039,0.8355773153806246,0.8145570249569308,0.8249332863392327
18,0.003679621537983735,0.8349801364970612,0.8150541911098587,0.8248968501551525
19,0.0029474273057221723,0.8316440300011841,0.8158496569545431,0.8236711338645547
20,0.00210767241203369,0.8334182893252794,0.8128666600369763,0.8230141951063897
21,0.004071118444457511,0.8325363719596779,0.8136621258816608,0.8229910489783535
22,0.007542740537552106,0.8330110918888439,0.8139604255734175,0.8233755783536276
23,0.0035132349771167526,0.8346770078570929,0.8132643929593185,0.8238315874286625
24,0.0019462617101555502,0.8344532681726384,0.8149547578792731,0.8245887620093318
25,0.0019462617101555502,0.8344532681726384,0.8149547578792731,0.8245887620093318